Award ID,Year,Award Category,Program,State/Province (Abbrev) (Organization) (Organization),FIPS Code (Organization) (Organization),Organization Name (Organization) (Organization),Abstract of the Program,Status Reason
AWD-002208,2023,Community and Economic Development,Business Resource Breakfasts,MD,24025,Harford County,"Harford County’s business resource breakfasts are a one-stop-shop approach to disseminating information from local and state resource partners to the county business community in a relaxed, intimate atmosphere. At the breakfasts, local business leaders have the opportunity to liaise with representatives from government entities, nonprofit organizations, and other groups associated with business development and workforce support and growth all in one room. Attendees learn from the presenters about the resources and programs available to support their businesses, various financing and funding options, relevant news and updates relating to the regional business ecosystem, and more. The breakfasts are always hosted at a local business to maintain the community feel of the event and are held early in the day not to interfere with the busiest hours of operation for most attendees. The breakfast’s location varies each year, as businesses from a specific industry sector, business park, and/or county region serve as that year’s invitee list. The breakfasts are held annually and coincide with Harford County Business Appreciation Week festivities. ",Awarded
AWD-002211,2023,Human Services,Care Voucher,CA,06037,Los Angeles County,"Care Voucher is a pet assistance program administered by the Los Angeles County Department of Animal Care and Control (DACC) that covers up to $500 in veterinary expenses, food and supplies, boarding, or grooming services for pet owners experiencing financial hardships. These vouchers are critical for ensuring that pets receive the services they need and aren’t surrendered to an animal care center due to a pet owner’s struggles to afford care. This program recognizes medical costs as a top reason for pets being permanently surrendered and provides a solution to remediate that gap. Care Voucher is collaborative program that involves various external agencies. This includes partnerships with local veterinary clinics and vendors who have agreed to partner with DACC and accept vouchers from pet owners. It also includes partnerships with various nonprofit partners who have provided significant donations and grants to help sustain and expand Care Voucher into late 2023, with various additional funding sources still pending.  ",Awarded
AWD-002213,2023,Information Technology,"Scripting for Security, Standardization, and Savings",FL,12017,Citrus County,"Limited IT staff, increased staff turnover county-wide, and the need to quickly and efficiently provision and deprovision staff forced the IT staff streamline complex, time-consuming, and repetitive tasks.

The process of user account provisioning and deprovisioning as well as workstation configuration is a critical task for any IT department, but it can be time-consuming and error-prone if done manually. PowerShell provides a powerful automation tool that can help streamline this process and save time while improving accuracy.

Using PowerShell, IT professionals can create scripts that automate the creation, modification, and removal of user accounts, as well as the assignment of permissions and groups. By leveraging PowerShell's extensive library of commands and functions, IT ensures that each step in the process executes correctly, reduces the risk of errors, and minimizes the potential for security breaches.

Moreover, PowerShell's ability to integrate with other tools and systems allows for greater flexibility and customization, making it an ideal solution. With its power and versatility, PowerShell became a valuable asset to the IT department to optimize user account provisioning and deprovisioning processes and secure computer configurations.
",Awarded
AWD-002215,2023,Parks and Recreation,Kids Day Out,MD,24031,Montgomery County,"Kids Day Out is a high-quality, well-organized recreation program offered during the school year, on days when school is not in session. The program, offered at 13 Recreation Centers across Montgomery County, was launched in October 2021 and has served more than 3,600 participants. Kids Day Out features excellent enrichment programming such as arts, cultural music, sports and a wide range of other recreation activities for youth (Kids Day Out ages 6 to 12; TR Kids Day Out ages 6 to 21; Teens Day Out ages 11 to 14) to choose from throughout the day. Parents love it because it is active, supportive and affordable and youth love it because it is fun.
",Awarded
AWD-002216,2023,Parks and Recreation,Let Her Shine – Girls Volleyball,MD,24031,Montgomery County,"As girls approach the middle school years, gender disparities in sports participation significantly increase. In response, Montgomery County Recreation’s (MCR) Let Her Shine - Girls Volleyball is a program that encourages girls, ages 10 to 14 years, to join a volleyball program that offers play opportunities for both beginner and more experienced athletes. Let Her Shine emphasizes that sports are an important part of growth and development regardless of gender or ability. Program registration kicked off with a free sports event that provided volleyball and other sports clinics to give girls an opportunity to sample multiple sports.
",Awarded
AWD-002217,2023,Parks and Recreation,Inclusion Multi-Sport Program,MD,24031,Montgomery County,"Montgomery County Recreation’s (MCR) Inclusion Multi-Sport Program creates a safe place for young people of varied abilities to learn futsal, an indoor version of soccer, and other sport activities. The program ends with players participating in a scrimmage on a full-size court in front of a group of futsal fans. This unique program, paired with MCR’s long-running winter futsal program, helps high school students with disabilities explore recreation, socialize, build friendships, and engage in sports. The positive and supportive environment structures the sport skill instruction to the level of the participant to ensure each player develops new skills.
",Awarded
AWD-002218,2023,Risk and Emergency Management,Flood Detection Network,MD,24031,Montgomery County,"A Partnership among the U.S. Department of Homeland Security (DHS) and the Montgomery County’s Department of Environmental Protection (DEP), Office of Emergency Management and Homeland Security (OEMHS), Department of Transportation (DOT), Fire and Rescue Service (MCFRS), and the Maryland National Capital Park and Planning Commission (M- NCPPC). These entities all have various public safety roles in responding to flood monitoring during storm events. A total of 35 flood sensors were deployed at high hazard dams, storm water management ponds, and low-water crossings that have a history of water rescues. The sensors detect water levels, their rate-of- rise and rate-of-decline and notify select staff when pre- determined thresholds are met. These notifications enable public safety personnel to strategically mitigate the risk of flooding to motorists and residents downstream of these flood-prone areas.
",Awarded
AWD-002219,2023,Information Technology,Case Portal for Subpoena Management,MD,24031,Montgomery County,"The Department of Health and Human Services (DHHS) is served with approximately 300 subpoenas yearly for records in a variety of court-involved matters. The Office of the County Attorney, HHS Division, is responsible for responding to each subpoena, filing appropriate motions in various courts, and coordinating the release of records consistent with the court’s orders. To address this workload and improve the subpoena action process, OCA HHS Division, worked with the Department of Technology and Enterprise Business Solutions (TEBS), Employee Productivity Solutions Division, to develop a paperless online portal for use by DHHS and OCA staff. The design and programming of the new portal started in February 2022 and completed in August 2022. The portal allows OCA staff to process subpoena responses online, track status and manage deadlines. The program allows OCA to summarize data for management analysis.",Awarded
AWD-002220,2023,Parks and Recreation,Project Prom Dress,MD,24031,Montgomery County,"Montgomery County Recreation’s first Project Prom Dress provided hundreds of high school students an opportunity to get a free prom dress. The Project was held in an area of the County, which was historically underserved, and could benefit from programs that provide financial assistance. The event was held in a community recreation center in proximity of a high school where 66 percent of the students qualify for free and reduced meals. The program aimed to eliminate the financial hardship many girls faced when looking to purchase a new prom dress. Additionally, the annual event helps ensure that finances are not barriers to hold back girls from attending one of high school’s most memorable events. The event featured a dress-selection area with more than 2,500 dresses, make-up and accessories shops and fitting rooms. All items and services were free.",Awarded
AWD-002221,2023,Parks and Recreation,Senior Adventures Summer Camp,MD,24031,Montgomery County,"Montgomery County Recreation’s Senior Adventures Camp is a summer camp for adults 55 years and older. The camps feature a high- quality experience aimed to help older adults remain engaged and independent in their community. Camp events provided a wide range of active, healthy leisure choices and were modified to include seniors of all levels. The summer camp had a different theme each day and included a trip, meal, transportation, and activities, just like traditional youth summer camps. The programs, offered in two different areas of the County, gave seniors an option to join a camp closer to their homes at an affordable cost.
",Awarded
